Year,Month,Minimum Monthly Rainfall(mm),Maximum Monthly Rainfall(mm),Total Rainfall(mm)
1997,7,0.00,6.00,15.40
1997,8,0.00,22.00,25.00
1997,9,0.00,47.60,78.60
1997,10,0.00,8.60,37.60
1997,11,0.00,23.00,66.40
1997,12,0.00,88.00,455.40
1998,1,0.00,211.00,1089.00
1998,2,0.00,87.40,278.80
1998,3,0.00,58.00,172.60
1998,4,0.00,58.00,252.00
1998,5,0.00,81.00,146.90
1998,6,0.00,5.00,15.80
1998,7,0.00,9.60,22.00
1998,8,0.00,210.00,241.60
1998,9,0.00,55.00,105.10
1998,10,0.00,51.00,184.90
1998,11,0.00,91.00,314.00
1998,12,0.00,42.00,175.30
1999,1,0.00,124.00,293.80
1999,2,0.00,83.00,396.20
1999,3,0.10,51.00,273.20
1999,4,0.00,31.00,98.60
1999,5,0.00,14.00,32.10
1999,6,0.00,7.00,14.20
1999,7,0.00,8.20,17.70
1999,8,0.00,10.00,15.70
1999,9,0.00,5.00,12.90
1999,10,0.00,11.00,25.10
1999,11,0.00,126.00,613.80
1999,12,0.00,75.00,154.40
2000,1,0.00,60.40,217.70
2000,2,0.00,211.00,1324.80
2000,3,0.00,207.00,500.90
2000,4,0.00,183.00,382.60
2000,5,0.00,2.20,3.60
2000,6,0.00,10.20,28.20
2000,7,0.00,0.60,1.20
2000,8,0.00,7.00,7.00
2000,9,0.00,0.00,0.00
2000,10,0.00,9.80,19.40
2000,11,0.00,129.00,760.20
2000,12,0.00,103.00,275.80
2001,1,0.00,40.00,145.30
2001,2,0.00,136.00,544.40
2001,3,0.00,41.00,199.90
2001,4,0.00,16.00,87.40
2001,5,0.00,0.80,1.40
2001,6,0.00,11.60,36.00
2001,7,0.00,22.00,50.80
2001,8,0.00,3.80,3.80
2001,9,0.00,3.40,12.40
2001,10,0.00,27.00,61.60
2001,11,0.00,11.60,63.00
2001,12,0.00,40.00,85.80
2002,1,0.00,47.00,159.00
2002,2,0.00,415.00,987.60
2002,3,0.00,20.00,99.40
2002,4,0.00,7.40,45.40
2002,5,0.00,1.00,1.60
2002,6,0.00,5.80,14.00
2002,7,0.00,0.40,0.40
2002,8,0.00,20.00,43.20
2002,9,0.00,0.60,1.40
2002,10,0.00,1.20,1.20
2002,11,0.00,7.00,13.80
2002,12,0.00,20.00,46.70
2003,1,0.00,7.00,58.60
2003,2,0.00,127.80,401.30
2003,3,0.00,61.00,200.20
2003,4,0.00,19.00,33.20
2003,5,0.00,26.60,43.40
2003,6,0.00,7.00,17.00
2003,7,0.00,2.00,4.40
2003,8,0.00,7.00,13.40
2003,9,0.00,4.00,7.80
2003,10,0.00,9.40,26.60
2003,11,0.00,9.00,37.40
2003,12,0.00,100.00,331.60
2004,1,0.00,224.00,378.40
2004,2,0.00,138.00,435.20
2004,3,0.00,70.40,128.00
2004,4,0.00,50.00,99.60
2004,5,0.00,5.80,20.00
2004,6,0.00,1.80,1.80
2004,7,0.00,7.60,20.00
2004,8,0.00,0.00,0.00
2004,9,0.00,30.00,74.00
2004,10,0.00,13.00,23.80
2004,11,0.00,57.00,158.00
2004,12,0.00,42.60,173.50
2005,1,0.00,375.00,659.60
2005,2,0.00,32.00,52.80
2005,3,0.00,19.60,78.20
2005,4,0.00,12.00,30.60
2005,5,0.00,25.00,39.40
2005,6,0.00,26.80,88.80
2005,7,0.00,48.00,55.00
