Year,Month,Minimum Monthly Rainfall(mm),Maximum Monthly Rainfall(mm),Total Rainfall(mm)
2005,7,0.00,34.00,115.20
2005,8,0.00,19.00,98.80
2005,9,0.00,1.60,3.40
2005,10,0.00,5.00,10.20
2005,11,0.00,10.00,29.60
2005,12,0.00,23.20,55.60
2006,1,0.00,74.00,409.80
2006,2,0.00,79.00,378.60
2006,3,0.00,243.00,915.20
2006,4,0.60,150.00,743.00
2006,5,0.00,45.00,86.00
2006,6,0.00,49.00,133.20
2006,7,0.00,19.00,60.00
2006,8,0.00,5.00,22.00
2006,9,0.00,20.00,68.40
2006,10,0.00,15.00,74.80
2006,11,0.00,8.00,26.80
2006,12,0.00,20.00,125.20
2007,1,0.00,49.00,238.60
2007,2,0.00,166.00,826.40
2007,3,0.00,124.00,338.80
2007,4,0.00,24.00,108.00
2007,5,0.00,79.00,264.60
2007,6,0.00,19.00,65.60
2007,7,0.00,12.00,37.60
2007,8,0.00,8.80,36.40
2007,9,0.00,1.00,1.80
2007,10,0.00,17.00,42.60
2007,11,0.00,22.00,100.80
2007,12,0.00,95.00,265.00
2008,1,0.00,167.00,513.40
2008,2,0.00,152.00,693.00
2008,3,0.00,169.00,786.20
2008,4,0.00,6.00,27.40
2008,5,0.00,20.00,76.40
2008,6,0.00,9.00,36.20
2008,7,0.00,21.00,61.20
2008,8,0.00,3.00,7.00
2008,9,0.00,16.00,55.20
2008,10,0.00,21.00,95.20
2008,11,0.00,31.00,69.20
2008,12,0.00,52.00,182.20
2009,1,0.00,250.00,962.80
2009,2,0.00,178.00,692.40
2009,3,0.00,79.00,175.20
2009,4,0.00,78.00,210.00
2009,5,0.00,22.00,106.40
2009,6,0.00,10.00,14.40
2009,7,0.00,4.00,8.40
2009,8,0.00,3.00,6.60
2009,9,0.00,5.00,10.20
2009,10,0.00,12.00,33.60
2009,11,0.00,93.00,265.20
2009,12,0.00,31.00,94.60
2010,1,0.00,120.00,773.00
2010,2,0.00,73.00,239.00
2010,3,0.00,113.00,431.20
2010,4,0.00,73.00,242.20
2010,5,0.00,15.00,48.40
2010,6,0.00,9.00,25.60
2010,7,0.00,14.00,65.80
2010,8,0.00,34.00,59.80
2010,9,0.00,34.00,84.20
2010,10,0.00,53.00,271.40
2010,11,0.00,49.00,241.00
2010,12,0.00,88.00,373.50
2011,1,0.00,97.20,493.00
2011,2,0.00,210.00,1080.20
2011,3,0.00,84.00,373.00
2011,4,0.00,21.00,115.00
2011,5,0.00,12.00,29.20
2011,6,0.00,72.00,97.60
2011,7,0.00,9.00,23.00
2011,8,0.00,5.00,17.60
2011,9,0.00,17.00,24.60
2011,10,0.00,224.00,469.40
2011,11,0.00,40.00,119.80
2011,12,0.00,44.00,190.00
2012,1,0.00,97.00,319.20
2012,2,0.00,61.00,273.20
2012,3,0.00,154.00,934.50
2012,4,0.00,84.00,223.00
2012,5,0.00,13.00,55.40
2012,6,0.00,11.00,20.60
2012,7,0.00,35.00,39.40
2012,8,0.00,0.00,0.00
2012,9,0.00,0.00,0.00
2012,10,0.00,0.00,0.00
2012,11,0.00,0.00,0.00
2012,12,0.00,0.00,0.00
2013,1,0.00,0.00,0.00
2013,2,0.00,0.00,0.00
2013,3,0.00,0.00,0.00
2013,4,0.00,0.00,0.00
2013,5,0.00,0.00,0.00
2013,6,0.00,0.00,0.00
2013,7,0.00,0.00,0.00
2013,8,0.00,0.00,0.00
2013,9,0.00,0.00,0.00
2013,10,0.00,0.00,0.00
2013,11,0.00,0.00,0.00
2013,12,0.00,0.00,0.00
2014,1,0.00,0.00,0.00
2014,2,0.00,0.00,0.00
2014,3,0.00,0.00,0.00
2014,4,0.00,0.00,0.00
2014,5,0.00,0.00,0.00
2014,6,0.00,0.00,0.00
2014,7,0.00,0.00,0.00
2014,8,0.00,0.00,0.00
2014,9,0.00,0.00,0.00
2014,10,0.00,0.00,0.00
2014,11,0.00,0.00,0.00
2014,12,0.00,0.00,0.00
2015,1,0.00,130.00,299.00
2015,2,0.00,424.00,721.00
2015,3,0.00,105.00,240.00
2015,4,0.00,51.00,118.50
2015,5,0.00,18.00,47.00
2015,6,0.00,60.00,230.00
2015,7,0.00,0.00,0.00
2015,8,0.00,0.00,0.00
2015,9,0.00,22.00,36.00
2015,10,0.00,21.00,56.00
2015,11,0.00,41.00,99.60
2015,12,0.00,226.00,448.00
2016,1,0.00,32.00,120.00
2016,2,0.00,97.00,122.00
2016,3,0.00,88.00,336.40
2016,4,0.00,77.00,190.50
2016,5,0.00,146.00,184.00
2016,6,0.00,29.00,96.00
2016,7,0.00,0.00,0.00
2016,8,0.00,21.00,50.00
2016,9,0.00,21.60,49.20
2016,10,0.00,28.40,42.40
2016,11,0.00,15.00,22.00
2016,12,0.00,66.00,112.50
2017,1,0.00,61.00,364.00
2017,2,0.00,0.00,0.00
2017,3,0.00,0.00,0.00
2017,4,0.00,0.00,0.00
2017,5,0.00,0.00,0.00
2017,6,0.00,0.00,0.00
2017,7,0.00,0.00,0.00
2017,8,0.00,0.00,0.00
2017,9,0.00,0.00,0.00
2017,10,0.00,0.00,0.00
2017,11,0.00,0.00,0.00
2017,12,0.00,0.00,0.00
2018,1,0.00,0.00,0.00
2018,2,0.00,0.00,0.00
2018,3,0.00,0.00,0.00
2018,4,0.00,0.00,0.00
2018,5,0.00,0.00,0.00
2018,6,0.00,0.00,0.00
2018,7,0.00,0.00,0.00
2018,8,0.00,0.00,0.00
2018,9,0.00,0.00,0.00
2018,10,0.00,0.00,0.00
2018,11,0.00,0.00,0.00
2018,12,0.00,0.00,0.00
2019,1,0.00,286.00,1000.40
2019,2,0.00,8.00,8.00
2019,3,0.00,111.50,250.50
